"id","site","timestamp","year","place","dataset","Openly licenced?","Openly licenced? comments","Downloadable at once","Downloadable at once comments","timely","timely comments","Publicly available online (no access controls)","Publicly available online (no access controls) comments","free","free comments","findable","findable comments","findable_steps","findable_steps comments","Licence URL","Licence URL comments","collector_gov","collector_gov comments","usability","usability comments","collector_name","collector_name comments","collector_non_gov","collector_non_gov comments","online_otherwise","online_otherwise comments","Format 1","Format 2","Format 3","Format 4","Format 5","Format 6","Format 7","Format comment","Data element 1","Data element 2","Data element 3","Data element 4","Data element 5","Data element 6","Data element 7","Data element 8","Data element 9","Data element comment","URL 1","Description URL 1","URL 2","Description URL 2","URL 3","Description URL 3","URL 4","Description URL 4","URL 5","Description URL 5","URL 6","Description URL 6","URL 7","Description URL 7","URL 8","Description URL 8","URL 9","Description URL 9","URL comment","reviewed","reviewResult","reviewComments","details","isCurrent","isOpen","submitter","reviewer","score","relativeScore"
"7a30aba4-f34f-4849-9e1f-165c51c2d92f","ar-cities","2018-05-30T23:57:17","2018","ushuaia","elections",,,,,,,"No",,,,,,,,,,"Yes",,,,"    Municipio de Ushuaia",,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","anonymous","Roque De Benedictis","0","0"
"21b1d17c-b103-43de-9c96-2bf3a398930e","ar-cities","2018-05-30T23:56:55","2018","trenque-lauquen","elections",,,,,,,"No",,,,,,,,,,"Yes",,,,"    Junta Electoral de Trenque Lauquen",,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","anonymous","Roque De Benedictis","0","0"
"643e46f5-c021-4454-b51e-fb739da89ce3","ar-cities","2018-05-30T23:56:31","2018","tigre","elections","Yes",,"Yes",,"Yes",,"Yes",,"Yes",,"3",,"Datos Abiertos Tigre - Datos Abiertos - Resultados definitivos de las elecciones de Tigre 2017: http://tigre.opendata.junar.com/dataviews/246219/resultados-definitivos-de-las-elecciones-en-tigre-ano-2017/",,"http://opendatacommons.org/licenses/pddl/",,"Yes",,"2",,"    Municipalidad de Tigre",,,,,,"CSV","JSON","XLS",,,,,,"Resultados de los principales concursos electorales","Número de votos registrados","Número de votos invalidos",,,,,,,,"http://tigre.opendata.junar.com/dashboards/20302/datos-electorales/","Resultados electorales",,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","Yes","Roque De Benedictis","Roque De Benedictis","90","100"
"1d5c7fa5-a89a-408b-b1cd-afc636db6b75","ar-cities","2018-05-30T23:53:48","2018","santa-rosa","elections",,,,,,,"No",,,,,,,,,,"Yes",,,,"    Municipalidad Santa Rosa",,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","anonymous","Roque De Benedictis","0","0"
"46c93c40-bf17-4bf0-8c0b-57314dddd295","ar-cities","2018-05-30T23:53:23","2018","san-pedro","elections",,,,,,,"No",,,,,,,,,,"Yes",,,,"Municipalidad de San Pedro",,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","Roque De Benedictis","Roque De Benedictis","0","0"
"ead1b89c-4226-47e4-a839-c239a9edaa85","ar-cities","2018-05-30T23:52:59","2018","san-miguel","elections",,,,,,,"No",,,,,,,,,,"Yes",,,,"    Municipalidad de San Miguel",,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","anonymous","Roque De Benedictis","0","0"
"57180e30-9ebe-4488-a159-dfe3dfc35d9f","ar-cities","2018-05-30T23:52:30","2018","san-luis","elections",,,,,,,"No",,,,,,,,,,"Yes",,,,"    Municipalidad de San Luis ",,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","anonymous","Roque De Benedictis","0","0"
"bb45979c-c4a1-4855-a43a-7fdc8170e517","ar-cities","2018-05-30T23:52:08","2018","san-juan","elections",,,,,,,"No",,,,,,,,,,"Yes",,,,"    Municipalidad de San Juan ",,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","anonymous","Roque De Benedictis","0","0"
"5d731bd7-3656-4496-bbb8-9288e3ce25cf","ar-cities","2018-05-30T23:49:32","2018","san-isidro","elections","Yes",,"Yes",,"Yes",,"Yes",,"Yes",,"4",,"Datos Abiertos San Isidro - Resultados electorales:https://sis-bue-datos.paisdigital.modernizacion.gob.ar/dataset/resultados-electorales/archivo/567a40b8-bcfc-41c3-97e9-c1959dee45c5",," Creative Commons Attribution ",,"Yes",,"2",,"Municipalidad de San Isidro",,,,"No",,"CSV","JSON","XLS",,,,,,"Resultados de los principales concursos electorales","Número de votos invalidos",,,,,,,,,"https://sis-bue-datos.paisdigital.modernizacion.gob.ar/dataset/resultados-electorales/archivo/567a40b8-bcfc-41c3-97e9-c1959dee45c5","Resultados electorales 2015",,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","Yes","Roque De Benedictis","Roque De Benedictis","90","100"
"ea92b1db-2956-4b26-b5cd-e15da3fc6905","ar-cities","2018-05-30T23:47:56","2018","salta","elections",,,,,,,"No",,,,,,,,,,"Yes",,,,"    Municipalidad de Salta",,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","anonymous","Roque De Benedictis","0","0"
"b422933e-3566-4a44-a634-21b28050ceb8","ar-cities","2018-05-30T23:47:25","2018","rosario","elections",,,,,,,"No",,,,,,,,,,"Yes",,,,"    Junta electoral de Rosario",,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","Roque De Benedictis","Roque De Benedictis","0","0"
"51d2598f-59a2-453e-80a7-c1dc39044323","ar-cities","2018-05-30T23:46:49","2018","rivadavia","elections",,,,,,,"No",,,,,,,,,,"Yes",,,,"    Municipalidad de Rivadavia ",,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","anonymous","Roque De Benedictis","0","0"
"40f6185a-fcb2-4fd2-8883-d271d964b5cb","ar-cities","2018-05-30T23:46:08","2018","rio-segundo","elections","Yes",,"Yes",,"Yes",,"Yes",,"Yes",,"4",,"Portal de datos abiertos - datos públicos - datos electorales: http://gobiernoabierto.riosegundo.gob.ar/munirio2/portal/panel/datosabiertos.php",,"CC-BY-SA-AR",,"Yes",,"3",,"Municipalidad de Rio Segundo",,,,,,"CSV","XLS",,,,,,,"Resultados de los principales concursos electorales","Número de votos registrados",,,,,,,,,"http://gobiernoabierto.riosegundo.gob.ar/munirio2/portal/panel/datosabiertos.php",,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","Yes","Roque De Benedictis","Roque De Benedictis","90","100"
"4168c27b-5df2-4c0e-84f8-9904b1c1fb36","ar-cities","2018-05-30T23:43:08","2018","rafaela","elections",,,,,,,"No",,,,,,,,,,"Yes",,,,"    Municipalidad de Rafaela ",,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","Roque De Benedictis","Roque De Benedictis","0","0"
"f08ea49c-b598-40c6-9c15-e3f857106b08","ar-cities","2018-05-30T23:42:28","2018","olavarria","elections",,,,,,,"No",,,,,,,,,,"Yes",,,,"Municipalidad de Olavarría",,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","Roque De Benedictis","Roque De Benedictis","0","0"
"aa3791b1-48aa-401b-981e-c108b33a3209","ar-cities","2018-05-30T23:41:58","2018","neuquen","elections",,,,,,,"No",,,,,,,,,,"Yes",,,,"    Municipalidad de Neuquén",,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","Roque De Benedictis","Roque De Benedictis","0","0"
"dea12cbd-f957-42b5-83ff-2f8cf50fea5f","ar-cities","2018-05-30T23:41:36","2018","moron","elections",,,,,,,"No",,,,,,,,,,"Yes",,,,"    Municipalidad de Morón",,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","Roque De Benedictis","Roque De Benedictis","0","0"
"b3b96ebd-6bc4-41ee-ac6f-b98e0645c03c","ar-cities","2018-05-30T23:41:11","2018","moreno","elections",,,,,,,"No",,,,,,,,,,"Yes",,,,"Municipalidad de Moreno",,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","Roque De Benedictis","Roque De Benedictis","0","0"
"f86b3068-716a-4979-924d-29348f0cfd47","ar-cities","2018-05-30T23:40:41","2018","mercedes","elections",,,,,,,"No",,,,,,,,,,"Yes",,,,"    Junta Electoral Mercedes",,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","Roque De Benedictis","Roque De Benedictis","0","0"
"bec82ad9-061a-4978-bbcb-0a7b060bb1be","ar-cities","2018-05-30T23:40:11","2018","lujan","elections",,,,,,,"No",,,,,,,,,,"Yes",,,,"    Municipio de Luján",,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","Roque De Benedictis","Roque De Benedictis","0","0"
"a8622251-eaa1-4dfc-8fc8-0c951f453517","ar-cities","2018-05-30T23:39:49","2018","lincoln","elections",,,,,,,"No",,,,,,,,,,"Yes",,,,"Municipalidad de Lincoln",,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","anonymous","Roque De Benedictis","0","0"
"9574f6f1-9597-468c-9be3-660b16c798ab","ar-cities","2018-05-30T23:39:17","2018","la-plata","elections",,,,,,,"No",,,,,,,,,,"Yes",,,,"Municipalidad de La Plata",,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","anonymous","Roque De Benedictis","0","0"
"08d1bb17-c613-4303-a460-a91a8e2fc585","ar-cities","2018-05-30T23:38:48","2018","junin","elections",,,,,,,"No",,,,,,,,,,"Yes",,,,"    Junta electoral de Junin",,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","anonymous","Roque De Benedictis","0","0"
"6cb43d28-7ad8-4248-bce9-aae8c4bc9df9","ar-cities","2018-05-30T23:38:18","2018","gualeguaychu","elections",,,,,,,"No",,,,,,,,,,"Yes",,,,"    Junta Electoral de Gualeguaychu",,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","Roque De Benedictis","Roque De Benedictis","0","0"
"23437478-9988-4948-ad23-c1218f170c2c","ar-cities","2018-05-30T23:37:35","2018","godoy-cruz","elections",,,,,,,"No",,,,,,,,,,"Yes",,,,"Municipalidad de Godoy Cruz",,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","Roque De Benedictis","Roque De Benedictis","0","0"
"614ab973-c65a-4605-a775-47e6cfff3a93","ar-cities","2018-05-30T23:36:30","2018","general-pueyrredon","elections","Yes",,"Yes",,"Yes",,"Yes",,"Yes",,"4",,"Portal de Datos Abiertos - Transparencia - Resultados Elecciones https://datos.mardelplata.gov.ar/?q=dataset/resultados-elecciones",,"http://opendefinition.org/licenses/odc-odbl/",,"Yes",,"3",,"    Tribunal de Faltas",,,,,,"CSV",,,,,,,,"Resultados de los principales concursos electorales","Número de votos registrados","Número de votos invalidos","Datos disponibles en el nivel de las mesa de votación",,,,,,,"https://datos.mardelplata.gov.ar/?q=dataset/resultados-elecciones","Resultados electorales",,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","Yes","Roque De Benedictis","Roque De Benedictis","90","100"
"64c39136-08ca-4fa9-9e32-f8cc046aca6e","ar-cities","2018-05-30T23:34:25","2018","formosa","elections",,,,,,,"No",,,,,,,,,,"Yes",,,,"Municipalidad de Formosa",,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","anonymous","Roque De Benedictis","0","0"
"115b11f1-1f35-49d9-a80c-23e9c0558a89","ar-cities","2018-05-30T23:33:58","2018","coronel-pringles","elections","No",,"No",,"Yes",,"Yes",,"Yes",,"4",,"Ciudad Abierta Pringles - Transparecia - Resultados Electorales: http://ciudadabierta.coronelpringles.gov.ar/transparencia/resultadoselectorales.php",,,,"Yes",,"2",,"Municipalidad de Coronel Pringles",,,,,,"HTML","XLS",,,,,,,"Resultados de los principales concursos electorales","Número de votos registrados","Número de votos invalidos","Datos disponibles en el nivel de las mesa de votación",,,,,,,"http://ciudadabierta.coronelpringles.gov.ar/transparencia/resultadoselectorales.php","Resultados electorales",,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","Roque De Benedictis","Roque De Benedictis","55","61"
"81a4c8da-370a-44ca-948e-e33bcaef1788","ar-cities","2018-05-30T23:30:41","2018","catamarca","elections",,,,,,,"No",,,,,,,,,,"Yes",,,,"Municipalidad de Catamarca",,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","anonymous","Roque De Benedictis","0","0"
"5ab68431-0098-44df-b1ce-18686096c68d","ar-cities","2018-05-30T23:29:03","2018","villa-la-angostura","boundaries",,,,,,,"No",,,,,,,,,,"Yes",,,,"Municipalidad de Villa La Angostura",,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","anonymous","Roque De Benedictis","0","0"
"bdb873d5-1d6f-4b7b-a85f-de05f4e07ccc","ar-cities","2018-05-30T23:28:34","2018","vicente-lopez","boundaries",,,,,,,"No",,,,,,,,,,"Yes",,,,"Municipalidad de Vicente López",,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","anonymous","Roque De Benedictis","0","0"
"66a3d2b7-b933-4990-bf87-b7f83a41327b","ar-cities","2018-05-30T23:28:10","2018","ushuaia","boundaries",,,,,,,"No",,,,,,,,,,"Yes",,,,"    Municipio de Ushuaia",,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","anonymous","Roque De Benedictis","0","0"
"ea2ed6e4-2dc9-48cb-a727-911ede6d7ac7","ar-cities","2018-05-30T23:27:37","2018","trenque-lauquen","boundaries",,,,,,,"No",,,,,,,,,,"Yes",,,,"    Municipalidad de Trenque Lauquen",,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","anonymous","Roque De Benedictis","0","0"
"44b47240-50c0-4501-9f7d-4fdb11d00085","ar-cities","2018-05-30T23:27:07","2018","tigre","boundaries","Yes",,"Yes",,"Yes",,"Yes",,"Yes",,"4",,"Datos Abiertos Tigre - Espacios públicos y servicios - Delegaciones municipales del partido de Tigre: http://tigre.opendata.junar.com/visualizations/31694/delegaciones-municipales-del-partido-de-tigre/",,"http://opendatacommons.org/licenses/pddl/",,"Yes",,"3",,"    Municipalidad de Tigre ",,,,,,"KMZ",,,,,,,,"Nivel de frontera 1","Nivel de frontera 2","Cordenadas (latitud y longitud)","Nombre del polígono (barrio, ciudad)","Bordes de los polígonos",,,,,,"http://tigre.opendata.junar.com/visualizations/31694/delegaciones-municipales-del-partido-de-tigre/","Barrios",,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","Yes","Roque De Benedictis","Roque De Benedictis","90","100"
"5563e925-203e-4c28-9dd8-0e182708e947","ar-cities","2018-05-30T23:25:53","2018","santa-rosa","boundaries",,,,,,,"No",,,,,,,,,,"Yes",,,,"    Municipalidad Santa Rosa",,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","anonymous","Roque De Benedictis","0","0"
